time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
30.40000000000,-5091.4,-43437.,-6903.0,-89112.,-0.24794E+06,-24315.,-0.12524E+06,-0.14599E+06,-0.67364E+06,-9011.2,-0.27460E+06,-0.22060E+06,-0.39705E+06,-0.26082E+06,-0.12279E+06,-0.12880E+06,-0.17001E+06,-89335.
61.40000000000,-4986.4,-41768.,-6536.5,-84775.,-0.23489E+06,-23829.,-0.11419E+06,-0.12791E+06,-0.59203E+06,-8484.1,-0.23817E+06,-0.14685E+06,-0.36819E+06,-0.22709E+06,-0.11740E+06,-77925.,-0.13878E+06,-83745.
89.40000000000,-4895.6,-40457.,-6261.6,-81082.,-0.22450E+06,-23418.,-0.10677E+06,-0.11721E+06,-0.55491E+06,-8101.4,-0.22562E+06,-0.12108E+06,-0.35408E+06,-0.20231E+06,-0.11274E+06,-55051.,-0.12195E+06,-79018.
120.4000000000,-4804.8,-39220.,-5995.5,-77253.,-0.21456E+06,-23005.,-0.10057E+06,-0.10918E+06,-0.53331E+06,-7778.7,-0.21907E+06,-0.10957E+06,-0.33316E+06,-0.18003E+06,-0.10784E+06,-44270.,-0.11082E+06,-74181.
150.4000000000,-4797.6,-38653.,-5976.7,-75612.,-0.21493E+06,-22891.,-0.10067E+06,-0.11006E+06,-0.60994E+06,-7333.8,-0.23902E+06,-0.12805E+06,-0.33774E+06,-0.18151E+06,-0.10556E+06,-71829.,-0.13861E+06,-72438.
181.4000000000,-4876.4,-40479.,-6251.1,-77020.,-0.22541E+06,-23580.,-0.11781E+06,-0.12323E+06,-0.71634E+06,-7490.4,-0.29285E+06,-0.20154E+06,-0.36360E+06,-0.21443E+06,-0.10573E+06,-0.13403E+06,-0.18945E+06,-74724.
211.4000000000,-4935.0,-41901.,-6476.1,-78494.,-0.23526E+06,-24449.,-0.12989E+06,-0.13208E+06,-0.78523E+06,-6752.0,-0.34176E+06,-0.24132E+06,-0.39418E+06,-0.24348E+06,-0.10734E+06,-0.17595E+06,-0.23210E+06,-78419.
242.4000000000,-4975.8,-43567.,-6766.5,-81140.,-0.24744E+06,-25075.,-0.14445E+06,-0.14330E+06,-0.81961E+06,-7061.6,-0.36680E+06,-0.25279E+06,-0.41667E+06,-0.26781E+06,-0.11089E+06,-0.18760E+06,-0.25312E+06,-82997.
273.4000000000,-5001.8,-44854.,-6980.6,-82740.,-0.25623E+06,-25608.,-0.15442E+06,-0.14850E+06,-0.82579E+06,-7205.3,-0.37984E+06,-0.25396E+06,-0.43349E+06,-0.28480E+06,-0.11213E+06,-0.18970E+06,-0.26528E+06,-85732.
303.4000000000,-5071.2,-45220.,-7028.3,-83435.,-0.25746E+06,-25683.,-0.15057E+06,-0.15087E+06,-0.77314E+06,-7634.2,-0.35145E+06,-0.26396E+06,-0.43691E+06,-0.28554E+06,-0.11309E+06,-0.16306E+06,-0.24342E+06,-87478.
334.4000000000,-5001.4,-43545.,-6699.4,-79811.,-0.24761E+06,-25105.,-0.13776E+06,-0.13127E+06,-0.70361E+06,-6934.3,-0.30306E+06,-0.16506E+06,-0.41411E+06,-0.25246E+06,-0.10775E+06,-0.10045E+06,-0.21139E+06,-84229.
364.4000000000,-4907.7,-41911.,-6371.6,-76023.,-0.23318E+06,-24563.,-0.12468E+06,-0.11812E+06,-0.60937E+06,-6851.8,-0.26140E+06,-0.12322E+06,-0.38199E+06,-0.22012E+06,-0.10299E+06,-64146.,-0.16557E+06,-78739.
395.4000000000,-4815.6,-40457.,-6066.1,-72399.,-0.22064E+06,-24052.,-0.11473E+06,-0.10872E+06,-0.56232E+06,-6844.2,-0.23638E+06,-0.10220E+06,-0.35185E+06,-0.19322E+06,-98462.,-47739.,-0.13811E+06,-73617.
426.4000000000,-4725.2,-39195.,-5785.1,-68982.,-0.20979E+06,-23576.,-0.10736E+06,-0.10190E+06,-0.53319E+06,-6801.2,-0.21871E+06,-89837.,-0.32940E+06,-0.17173E+06,-94308.,-40048.,-0.12097E+06,-68900.
454.4000000000,-4644.8,-38126.,-5549.1,-66035.,-0.20111E+06,-23168.,-0.10172E+06,-96626.,-0.51417E+06,-6753.7,-0.20738E+06,-82842.,-0.31194E+06,-0.15556E+06,-90764.,-35997.,-0.11030E+06,-64920.
485.4000000000,-4557.3,-36994.,-5309.4,-62944.,-0.19275E+06,-22743.,-96469.,-91660.,-0.49922E+06,-6675.5,-0.19615E+06,-77898.,-0.29683E+06,-0.14093E+06,-87033.,-33729.,-0.10239E+06,-60849.
515.4000000000,-4530.1,-36375.,-5320.5,-61887.,-0.19236E+06,-22606.,-97710.,-92826.,-0.56785E+06,-5659.6,-0.21715E+06,-96569.,-0.30114E+06,-0.15152E+06,-84255.,-64860.,-0.13194E+06,-59939.
546.4000000000,-4623.9,-38797.,-5651.4,-63863.,-0.20483E+06,-23297.,-0.11688E+06,-0.10608E+06,-0.68330E+06,-5569.1,-0.27419E+06,-0.18546E+06,-0.33154E+06,-0.18852E+06,-84145.,-0.12562E+06,-0.18592E+06,-62384.
576.4000000000,-4675.4,-40119.,-5800.0,-64757.,-0.21152E+06,-23981.,-0.13067E+06,-0.10952E+06,-0.70468E+06,-4977.1,-0.29644E+06,-0.20734E+06,-0.35779E+06,-0.20798E+06,-84937.,-0.15102E+06,-0.21693E+06,-65532.
607.4000000000,-4699.9,-41059.,-6002.5,-66045.,-0.22113E+06,-24534.,-0.14097E+06,-0.11353E+06,-0.74177E+06,-4778.7,-0.32530E+06,-0.20876E+06,-0.37904E+06,-0.22337E+06,-85835.,-0.16124E+06,-0.24135E+06,-68923.
638.4000000000,-4723.7,-41585.,-6176.2,-66664.,-0.22548E+06,-25000.,-0.14459E+06,-0.11545E+06,-0.73139E+06,-4379.6,-0.32880E+06,-0.20454E+06,-0.39290E+06,-0.23974E+06,-85618.,-0.17022E+06,-0.24394E+06,-71184.
668.4000000000,-4727.7,-41596.,-6232.5,-65795.,-0.22781E+06,-25100.,-0.14204E+06,-0.11427E+06,-0.70957E+06,-4129.7,-0.31998E+06,-0.18275E+06,-0.39220E+06,-0.24485E+06,-83094.,-0.15827E+06,-0.23317E+06,-70885.
699.4000000000,-4648.1,-39685.,-6007.2,-62986.,-0.21787E+06,-24510.,-0.12327E+06,-0.10601E+06,-0.59811E+06,-3732.7,-0.25973E+06,-0.12286E+06,-0.36951E+06,-0.22218E+06,-79309.,-0.10522E+06,-0.19400E+06,-67873.
729.4000000000,-4554.7,-38266.,-5715.1,-59976.,-0.20536E+06,-23958.,-0.11214E+06,-98476.,-0.53829E+06,-3835.8,-0.22953E+06,-93019.,-0.34374E+06,-0.19411E+06,-75964.,-64861.,-0.15353E+06,-63362.
760.4000000000,-4465.1,-37059.,-5443.2,-57073.,-0.19466E+06,-23442.,-0.10439E+06,-92172.,-0.50604E+06,-3991.3,-0.20963E+06,-78989.,-0.32249E+06,-0.17064E+06,-72835.,-46168.,-0.12926E+06,-59195.
791.4000000000,-4378.8,-35945.,-5192.3,-54324.,-0.18543E+06,-22964.,-97993.,-86797.,-0.48496E+06,-4094.9,-0.19515E+06,-71500.,-0.30382E+06,-0.15147E+06,-69948.,-38117.,-0.11405E+06,-55376.
820.4000000000,-4299.7,-34966.,-4973.6,-51862.,-0.17781E+06,-22544.,-93244.,-82403.,-0.47019E+06,-4134.7,-0.18436E+06,-67097.,-0.28461E+06,-0.13653E+06,-67586.,-34156.,-0.10421E+06,-52052.
851.4000000000,-4217.3,-33979.,-4760.9,-49375.,-0.17082E+06,-22125.,-89028.,-78421.,-0.45917E+06,-4129.7,-0.17689E+06,-64266.,-0.26938E+06,-0.12399E+06,-65206.,-32022.,-97375.,-48788.
